,Unnamed: 0,id,season,salary,PLAYER_AGE_y,RAPM,POSITION_Center,POSITION_Center-Forward,POSITION_Forward,POSITION_Forward-Center,POSITION_Forward-Guard,POSITION_Guard,POSITION_Guard-Forward,HEIGHT_METER,WEIGHT_KG,DRAFT_NUMBER,DRAFT_YEAR,GP,GS,PTS,AST,STL,BLK,TOV,PF,OREB,DREB,MIN,FG_PCT,FGA,FG3_PCT,FG3A,FT_PCT,FTA,ROOKIE,ROOKIE_AGE,FROM_US,coef_perc_rank,Undrafted,Undrafted_Rookie,log_rapm,RAPM_2,log_rapm_2,log_salary,PLAYER_AGE,PLAYER_AGE_2,BMI,log_BMI,next_season_salary,season_merge,log_next_season_salary,DISPLAY_FIRST_LAST,log_Salary,log_Predicted,Salary,Predicted,log_Difference,Difference
940,940,203918.0,2020/21,10047450.0,28.0,-1.73,0,0,0,0,0,0,1,2.03,94.35,23.0,2014,17,0,3.9,0.4,0.2,0.2,0.3,0.9,0.3,1.5,12.7,0.356,3.5,0.31,1.7,0.938,0.9,0.0,,1,75.9,0.0,0.0,,2.9929,1.3845177839407856,16.122829528458567,28.0,784.0,22.895483996214423,3.173689486950096,,,,Rodney Hood,16.122829528458567,14.86508478761596,10047450.99999999,2856434.6739325617,1.2577447408426075,7191016.326067429
941,941,203585.0,2020/21,5192307.0,29.0,0.25,0,0,0,0,0,1,0,1.93,92.99,61.0,Undrafted,16,2,5.7,1.0,0.5,0.1,0.4,0.8,0.5,0.9,12.1,0.529,4.4,0.4579999999999999,1.5,0.75,0.5,0.0,,1,53.690000000000005,1.0,0.0,0.2231435513142097,0.0625,0.0606246218164348,15.46268885764048,29.0,841.0,24.964428575263764,3.2567274695541624,,,,Rodney McGruder,15.46268885764048,13.9868043958354,5192308.000000003,1186839.436163749,1.4758844618050802,4005468.5638362537
942,942,1626220.0,2020/21,8500000.0,28.0,3.03,0,0,1,0,0,0,0,1.96,102.51,61.0,Undrafted,71,71,7.0,2.5,0.8,0.5,1.2,2.6,1.2,5.6,31.6,0.444,5.5,0.385,3.9,0.848,0.6,0.0,,1,83.99,1.0,0.0,1.3937663759585917,9.1809,2.3205134158589638,15.955576839107596,28.0,784.0,26.68419408579759,3.3208616397120707,,,,Royce O'Neale,15.955576839107596,14.904155098665626,8500000.999999998,2970245.296152735,1.0514217404419703,5529755.703847263
943,943,200752.0,2020/21,14500000.0,34.0,0.94,0,0,0,0,1,0,0,2.03,113.4,8.0,2006,63,1,11.4,1.4,0.7,0.6,1.0,1.8,0.7,4.1,21.6,0.42,10.0,0.381,4.4,0.804,1.6,0.0,,1,69.86,0.0,0.0,0.6626879730752367,0.8835999999999999,0.6331848393872624,16.489659276356317,34.0,1156.0,27.51826057414643,3.3505446039998383,,,,Rudy Gay,16.489659276356317,16.62647928290893,14500000.99999999,16626016.45701751,-0.13682000655261461,-2126015.4570175186
944,944,203497.0,2020/21,27525281.0,29.0,4.51,1,0,0,0,0,0,0,2.16,117.03,27.0,2013,71,71,14.3,1.3,0.6,2.7,1.7,2.3,3.4,10.1,30.8,0.675,8.2,0.0,0.1,0.623,5.3,0.0,,0,70.49,0.0,0.0,1.706564623164823,20.3401,3.0605879318982416,17.130615485752145,29.0,841.0,25.08359053497942,3.26130640146952,,,,Rudy Gobert,17.130615485752145,16.70804489184956,27525282.00000004,18038968.488776166,0.42257059390258433,9486313.511223875
945,945,201566.0,2020/21,41358814.0,32.0,-0.11,0,0,0,0,0,1,0,1.9,90.72,4.0,2008,65,65,22.2,11.7,1.4,0.4,4.8,2.9,1.7,9.9,36.4,0.439,19.0,0.315,4.2,0.6559999999999999,6.4,0.0,,1,59.34,0.0,0.0,-0.1165338162559515,0.0121,0.0120273802127184,17.537796136883596,32.0,1024.0,25.130193905817176,3.2630915003169725,,,,Russell Westbrook,17.537796136883596,17.984270256995885,41358814.99999994,64635235.22630556,-0.4464741201122884,-23276420.22630562
946,946,1628400.0,2020/21,1752950.0,26.0,0.13,0,0,1,0,0,0,0,1.98,108.86,37.0,2017,56,15,4.6,0.7,0.3,0.0,0.4,1.0,0.6,2.1,17.0,0.4029999999999999,3.9,0.367,2.8,0.75,0.6,0.0,,1,51.96,0.0,0.0,0.1222176327242492,0.0169,0.0167587838149547,14.37681121143056,26.0,676.0,27.76757473727171,3.359248875688002,,,,Semi Ojeleye,14.37681121143056,14.519270127340937,1752951.0000000005,2021337.7998880385,-0.1424589159103764,-268386.7998880381
947,947,201586.0,2020/21,9258000.0,31.0,0.45,0,0,1,0,0,0,0,2.08,106.59,24.0,2008,41,39,11.1,1.8,0.2,1.1,1.1,1.9,1.8,4.9,23.3,0.51,8.9,0.3389999999999999,2.8,0.8109999999999999,1.3,0.0,,0,69.39,0.0,0.0,0.371563556432483,0.2025,0.1844027229977792,16.040998708588038,31.0,961.0,24.63711168639053,3.244040976970405,,,,Serge Ibaka,16.040998708588038,16.184396293246493,9258001.00000001,10685479.19571624,-0.1433975846584552,-1427478.1957162302
948,948,203552.0,2020/21,7834449.0,30.0,1.27,0,0,0,0,0,1,0,1.88,83.91,61.0,Undrafted,12,12,18.8,2.3,0.8,0.3,0.8,2.8,0.3,2.0,31.8,0.578,12.3,0.506,6.8,0.789,1.6,0.0,,1,91.76,1.0,0.0,0.8197798314933114,1.6129,0.9604607156186292,15.874041233478026,30.0,900.0,23.74094612947035,3.208459609138127,,,,Seth Curry,15.874041233478026,15.231959826433108,7834449.999999999,4122456.685191033,0.6420814070449179,3711993.314808966
949,949,1628983.0,2020/21,4141320.0,22.0,-0.27,0,0,0,0,0,1,0,1.98,81.65,11.0,2018,35,35,23.7,5.9,0.8,0.7,3.0,2.0,0.5,4.2,33.7,0.508,16.1,0.418,4.9,0.8079999999999999,6.5,0.0,,0,18.84,0.0,0.0,-0.3147107448397002,0.0729,0.0703652626605634,15.236525377031226,22.0,484.0,20.82695643301704,3.083145739541618,,,,Shai Gilgeous-Alexander,15.236525377031226,15.91970496745802,4141321.000000001,8200494.107719157,-0.6831795904267945,-4059173.107719156
