player_id,Height (cm),Weight (kg),Experience,Season
203114,200.66,100.69750614,7,2019
203507,210.82,109.76935354000001,6,2019
201572,213.36,127.91304834,11,2019
1628978,193.04,92.07925111,1,2019
201950,190.5,92.98643585,10,2019
1627854,187.96,92.98643585,3,2019
200782,195.58,111.13013065000001,8,2019
1626171,208.28,113.3980925,4,2019
1626192,195.58,94.80080533,4,2019
1629091,195.58,95.2543977,0,2019
1629603,205.74,103.41906036,-1,2019
1630241,193.04,92.98643585,-1,2019
1629670,203.2,102.05828325,-1,2019
201952,190.5,88.45051215000001,11,2019
1626253,200.66,95.2543977,2,2019
1628382,203.2,99.79032140000001,2,2019
203648,198.12,99.33672903,1,2019
1628969,198.12,94.80080533,1,2019
203109,198.12,106.59420695,7,2019
1629028,210.82,113.3980925,1,2019
1626164,195.58,93.44002822,4,2019
101108,182.88,79.37866475,14,2019
1629661,203.2,95.2543977,0,2019
1626166,185.42000000000002,83.00740371,4,2019
1628470,200.66,100.24391377,2,2019
203967,208.28,102.05828325,3,2019
202734,190.5,86.63614267,9,2019
1630234,190.5,88.45051215000001,0,2019
1628975,185.42000000000002,90.718474,1,2019
204038,185.42000000000002,90.718474,5,2019
1626163,213.36,108.8621688,4,2019
1630188,208.28,97.52235955,-1,2019
1627846,195.58,102.05828325,2,2019
202695,200.66,102.05828325,8,2019
202694,203.2,98.88313666,8,2019
1627826,213.36,108.8621688,3,2019
202331,203.2,99.79032140000001,9,2019
201976,185.42000000000002,81.6466266,7,2019
202704,187.96,94.34721296000001,8,2019
201587,203.2,104.32624510000001,11,2019
201586,208.28,106.59420695,10,2019
200765,185.42000000000002,81.6466266,13,2019
1629611,195.58,97.52235955,0,2019
1629599,200.66,95.2543977,0,2019
202326,208.28,122.4699399,8,2019
1627812,182.88,80.73944186,4,2019
1628379,195.58,93.44002822,2,2019
202335,203.2,106.59420695,10,2019
1630187,203.2,108.8621688,-1,2019
1630206,195.58,99.79032140000001,-1,2019
1628381,205.74,102.51187562000001,2,2019
1629631,203.2,100.24391377,0,2019
203991,208.28,116.11964672,5,2019
203992,198.12,102.05828325,2,2019
1629027,185.42000000000002,74.38914868,1,2019
201568,208.28,107.04779932000001,10,2019
1628989,200.66,89.81128926000001,1,2019
203503,198.12,96.61517481,6,2019
101150,187.96,79.37866475,14,2019
1630168,203.2,108.8621688,-1,2019
1627739,190.5,92.98643585,4,2019
1628981,205.74,108.8621688,0,2019
203524,198.12,102.51187562000001,6,2019
1630233,208.28,114.75886961,-1,2019
1630219,193.04,92.98643585,-1,2019
1629629,203.2,98.42954429000001,0,2019
2544,205.74,113.3980925,15,2018
203076,208.28,114.75886961,6,2018
201580,213.36,122.4699399,10,2018
201980,198.12,97.52235955,9,2018
203484,195.58,92.53284348000001,5,2018
1628398,205.74,100.24391377,1,2018
202693,205.74,111.13013065000001,7,2018
1627936,195.58,84.36818082,1,2018
2730,208.28,120.20197805000001,14,2018
203079,190.5,95.2543977,6,2018
1626188,185.42000000000002,81.6466266,3,2018
201162,198.12,107.50139169,12,2018
2747,198.12,99.79032140000001,14,2018
200765,185.42000000000002,81.6466266,12,2018
1629659,193.04,106.14061458,-1,2018
202710,200.66,104.32624510000001,7,2018
203109,198.12,106.59420695,6,2018
1628389,205.74,115.66605435000001,1,2018
1629130,200.66,97.52235955,0,2018
201609,190.5,86.1825503,10,2018
1629639,195.58,88.45051215000001,-1,2018
2738,198.12,97.52235955,14,2018
1627884,198.12,95.2543977,2,2018
203482,210.82,108.8621688,5,2018
2617,203.2,106.59420695,15,2018
203524,198.12,102.51187562000001,5,2018
203086,213.36,117.9340162,6,2018
1629134,187.96,86.1825503,-1,2018
1629216,190.5,90.718474,-1,2018
1629735,203.2,106.14061458,-1,2018
1629008,208.28,98.88313666,-1,2018
200794,200.66,116.57323909,12,2018
203999,210.82,128.82023308,3,2018
1628470,200.66,100.24391377,1,2018
