,PLAYER_ID,SEASON_ID,TEAM_ID,PLAYER_AGE,GP,GS,MIN,FG_PCT,FGA,FG3_PCT,FG3A,FT_PCT,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,SCORE,id,player_names,position,team
0,2544,2020-21,1610612747.0,36.0,45,45,33.4,0.513,18.3,0.365,6.3,0.698,5.7,0.6,7.0,7.7,7.8,1.1,0.6,3.7,1.6,25.0,8.097586256951212,2544.0,LeBron James,F,LAL
1,2546,2021-22,1610612747.0,37.0,25,3,28.2,0.438,11.0,0.417,6.0,0.817,2.4,0.7,3.2,3.9,0.8,0.8,0.6,0.8,2.4,14.1,3.8713514134247338,2546.0,Carmelo Anthony,F,POR
2,2772,2010-11,1610612740.0,25.0,6,6,40.2,0.412,14.2,0.333,3.5,0.727,3.7,1.2,5.3,6.5,3.3,1.3,0.5,1.2,2.7,15.5,0.8052840185305296,2772.0,Trevor Ariza,F,MIA
3,101108,2020-21,1610612756.0,36.0,70,70,31.4,0.499,12.6,0.395,3.7,0.934,2.6,0.4,4.1,4.5,8.9,1.4,0.3,2.2,2.4,16.4,1.9238454409609618,101108.0,Chris Paul,G,PHX
4,101139,2018-19,1610612763.0,32.0,13,0,22.6,0.4,8.1,0.364,5.1,0.929,1.1,0.1,2.0,2.1,1.1,0.6,0.4,0.7,1.3,9.3,5.190744691467467,,,,
5,101150,2020-21,1610612737.0,34.0,24,1,21.0,0.389,9.0,0.444,2.3,0.87,2.3,0.3,1.8,2.1,3.4,0.3,0.1,1.8,0.8,10.0,-21.189627479287136,101150.0,Louis Williams,G,ATL
6,200746,2020-21,1610612751.0,35.0,5,5,26.0,0.521,9.6,0.8,1.0,1.0,2.0,0.4,4.4,4.8,2.6,0.6,2.2,1.4,2.2,12.8,9.384782281558023,200746.0,LaMarcus Aldridge,C,BKN
7,200752,2020-21,1610612759.0,34.0,63,1,21.6,0.42,10.0,0.381,4.4,0.804,1.6,0.7,4.1,4.8,1.4,0.7,0.6,1.0,1.8,11.4,9.60032971253864,200752.0,Rudy Gay,F,SAS
8,200765,2020-21,1610612746.0,35.0,18,1,20.4,0.486,5.8,0.432,2.4,1.0,0.8,0.8,2.3,3.1,5.8,1.0,0.1,2.2,1.6,7.6,17.82742503536933,200765.0,Rajon Rondo,G,LAC
9,200768,2021-22,1610612748.0,35.0,24,24,34.2,0.424,11.0,0.312,6.5,0.87,2.3,0.5,4.0,4.5,7.8,1.0,0.3,3.1,2.8,13.3,3.0161065804292577,200768.0,Kyle Lowry,G,TOR
10,200794,2020-21,1610612743.0,36.0,56,36,20.8,0.476,7.2,0.343,2.6,0.724,1.8,1.4,3.3,4.7,1.8,0.9,0.6,0.9,2.0,9.0,1.4152471763589982,200794.0,Paul Millsap,F,DEN
11,201143,2020-21,1610612760.0,35.0,28,28,27.9,0.45,12.9,0.368,5.4,0.818,0.8,1.0,5.7,6.7,3.4,0.9,0.9,1.0,1.7,14.2,2.2644974202365504,201143.0,Al Horford,C,OKC
12,201144,2020-21,1610612762.0,33.0,51,51,29.4,0.444,12.5,0.412,6.6,0.852,2.8,0.7,2.8,3.5,6.0,1.4,0.2,1.9,1.9,16.2,2.799267763219139,201144.0,Mike Conley,G,UTA
13,201145,2021-22,1610612743.0,35.0,24,15,24.8,0.48,7.1,0.322,2.5,0.81,2.6,0.4,2.8,3.2,1.1,0.3,0.5,0.9,2.1,9.8,-16.07736999210076,201145.0,Jeff Green,F,BKN
14,201152,2020-21,1610612741.0,33.0,68,23,24.3,0.559,9.7,0.267,0.7,0.628,1.7,2.5,3.8,6.2,4.3,1.1,0.6,2.0,2.2,12.1,-4.462467089568608,201152.0,Thaddeus Young,F,CHI
15,201158,2018-19,1610612759.0,33.0,79,1,23.0,0.413,8.7,0.372,5.0,0.903,1.6,0.2,2.3,2.5,1.7,0.4,0.1,0.9,1.5,10.5,4.985381225616366,,,,
16,201188,2019-20,1610612761.0,35.0,44,43,26.4,0.427,6.3,0.385,3.4,0.735,1.1,0.7,5.5,6.3,3.3,0.8,0.9,1.3,2.8,7.5,-0.7358764601170132,,,,
17,201565,2020-21,1610612752.0,32.0,35,3,26.8,0.487,12.2,0.411,2.6,0.883,2.2,0.4,2.5,2.9,4.2,0.9,0.4,1.4,1.1,14.9,9.69003141585892,201565.0,Derrick Rose,G,NYK
18,201566,2020-21,1610612764.0,32.0,65,65,36.4,0.439,19.0,0.315,4.2,0.656,6.4,1.7,9.9,11.5,11.7,1.4,0.4,4.8,2.9,22.2,6.77861361170538,201566.0,Russell Westbrook,G,WAS
19,201567,2020-21,1610612739.0,32.0,25,25,24.9,0.409,10.1,0.365,6.2,0.824,2.0,0.7,6.8,7.4,2.5,0.6,0.1,1.5,1.0,12.2,10.256940898359497,201567.0,Kevin Love,F,CLE
20,201568,2021-22,1610612737.0,33.0,22,0,21.5,0.416,7.3,0.39,3.7,0.93,2.0,0.5,3.5,4.0,1.4,0.5,0.2,0.5,1.1,9.4,-0.0778234729205934,201568.0,Danilo Gallinari,F,ATL
21,201569,2020-21,1610612745.0,32.0,27,13,29.2,0.433,13.6,0.329,7.8,0.825,4.2,0.3,1.9,2.1,2.6,0.5,0.5,1.9,1.6,17.8,6.499012944455799,201569.0,Eric Gordon,G,HOU
22,201571,2020-21,1610612745.0,33.0,20,6,20.8,0.424,7.6,0.386,4.4,0.907,2.7,0.5,1.8,2.2,3.9,0.4,0.0,1.6,1.2,10.6,1.8631248909542653,201571.0,DJ Augustin,G,HOU
23,201572,2020-21,1610612749.0,33.0,70,70,27.2,0.503,9.1,0.338,4.0,0.845,2.0,1.5,3.5,5.0,0.7,0.6,1.5,0.9,2.1,12.3,3.586323024431964,201572.0,Brook Lopez,C,MIL
24,201587,2020-21,1610612746.0,32.0,67,38,27.4,0.464,6.1,0.404,4.1,0.828,0.9,0.7,4.0,4.7,2.2,1.0,0.6,0.8,1.5,8.1,0.22405243914552858,201587.0,Nicolas Batum,G,LAC
25,201588,2021-22,1610612749.0,35.0,22,11,27.3,0.442,6.3,0.328,3.0,0.929,1.3,0.9,2.7,3.6,2.5,0.8,0.1,1.0,1.8,7.7,1.342031280634784,201588.0,George Hill,G,PHI
26,201599,2020-21,1610612751.0,32.0,57,43,21.9,0.763,4.4,0.0,0.0,0.5,1.6,2.1,5.4,7.5,1.6,0.3,1.1,1.5,2.0,7.5,-8.141267627848762,201599.0,DeAndre Jordan,C,BKN
27,201933,2020-21,1610612751.0,32.0,26,10,21.5,0.492,7.3,0.383,3.1,0.782,2.1,1.1,3.6,4.7,2.4,0.7,0.5,1.2,2.7,10.0,2.9317501503691137,201933.0,Blake Griffin,F,BKN
28,201935,2020-21,1610612751.0,31.0,36,35,36.6,0.471,16.6,0.366,7.3,0.856,7.3,0.8,7.7,8.5,10.9,1.3,0.8,4.0,2.4,24.6,11.664886485972126,201935.0,James Harden,G,BKN
29,201937,2020-21,1610612750.0,30.0,68,51,26.1,0.388,7.3,0.308,3.1,0.867,2.2,0.4,2.9,3.3,6.4,1.4,0.1,1.6,2.0,8.6,2.702365583644819,201937.0,Ricky Rubio,G,MIN
30,201939,2020-21,1610612744.0,33.0,63,63,34.2,0.482,21.7,0.421,12.7,0.916,6.3,0.5,5.0,5.5,5.8,1.2,0.1,3.4,1.9,32.0,22.5416696349169,201939.0,Stephen Curry,G,GSW
31,201942,2020-21,1610612759.0,31.0,61,61,33.7,0.495,15.1,0.257,1.2,0.88,7.2,0.7,3.6,4.2,6.9,0.9,0.2,2.0,2.1,21.6,7.974715482867183,201942.0,DeMar DeRozan,G,SAS
32,201950,2020-21,1610612749.0,31.0,59,56,32.3,0.503,13.9,0.392,4.8,0.787,2.3,1.2,3.3,4.5,6.1,1.6,0.6,2.2,1.7,17.7,3.1771730976628634,201950.0,Jrue Holiday,G,MIL
