PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,POSITION
203382,2020-21,0,1610612761,TOR,34.0,53,31,980.0,134,304,0.441,27,103,0.262,29,41,0.707,87,186,273,47,17,22,46,119,324,C
203145,2020-21,0,1610612744,GSW,31.0,67,18,1334.0,176,392,0.449,75,184,0.408,54,78,0.692,26,203,229,108,69,33,82,158,481,G
1629647,2020-21,0,1610612760,OKC,21.0,55,55,1714.0,273,690,0.396,83,286,0.29,125,178,0.702,51,345,396,99,29,25,122,60,754,F
203078,2020-21,0,1610612764,WAS,28.0,60,60,2147.0,670,1382,0.485,130,373,0.349,408,459,0.889,72,211,283,265,69,22,187,140,1878,G
1627736,2020-21,0,1610612750,MIN,24.0,37,36,1214.0,264,600,0.44,128,321,0.399,68,80,0.85,28,134,162,88,30,7,60,62,724,G
1628395,2020-21,0,1610612764,WAS,26.0,5,1,67.0,7,20,0.35,0,2,0.0,0,0,0.0,6,13,19,5,3,3,3,5,14,F
1628395,2020-21,0,1610612744,GSW,26.0,1,0,15.0,0,2,0.0,0,0,0.0,1,2,0.5,1,4,5,2,0,2,1,2,1,F
1628395,2020-21,0,0,TOT,26.0,6,1,82.0,7,22,0.318,0,2,0.0,1,2,0.5,7,17,24,7,3,5,4,7,15,F
1627761,2020-21,0,1610612761,TOR,26.0,51,12,972.0,117,228,0.513,14,53,0.264,45,66,0.682,33,113,146,107,53,18,71,87,293,G
202722,2020-21,0,1610612764,WAS,28.0,57,7,1464.0,193,478,0.404,169,428,0.395,100,115,0.87,18,150,168,49,33,13,33,136,655,F
201976,2020-21,0,1610612746,LAC,32.0,37,34,833.0,93,220,0.423,56,141,0.397,36,45,0.8,29,90,119,76,29,28,34,108,278,G
203920,2020-21,0,1610612753,ORL,28.0,48,5,952.0,94,209,0.45,4,21,0.19,63,85,0.741,117,126,243,53,32,28,23,67,255,C
203920,2020-21,0,1610612761,TOR,28.0,19,17,577.0,95,171,0.556,9,31,0.29,28,44,0.636,57,87,144,36,16,22,21,46,227,C
203920,2020-21,0,0,TOT,28.0,67,22,1529.0,189,380,0.497,13,52,0.25,91,129,0.705,174,213,387,89,48,50,44,113,482,C
1629048,2020-21,0,1610612754,IND,21.0,45,3,561.0,83,194,0.428,20,79,0.253,45,61,0.738,60,90,150,37,9,60,17,94,231,C
202687,2020-21,0,1610612766,CHA,28.0,66,36,1349.0,142,242,0.587,0,1,0.0,47,105,0.448,137,210,347,81,17,74,71,141,331,C
202357,2020-21,0,1610612758,SAC,33.0,26,1,439.0,69,150,0.46,17,58,0.293,32,42,0.762,24,76,100,49,8,2,28,48,187,F
202357,2020-21,0,1610612748,MIA,33.0,11,2,156.0,20,46,0.435,10,27,0.37,5,9,0.556,5,22,27,20,7,3,5,20,55,F
202357,2020-21,0,0,TOT,33.0,37,3,595.0,89,196,0.454,27,85,0.318,37,51,0.725,29,98,127,69,15,5,33,68,242,F
202339,2020-21,0,1610612740,NOP,31.0,71,70,2112.0,307,730,0.421,121,355,0.341,134,195,0.687,29,215,244,268,55,24,114,112,869,G
203992,2020-21,0,1610612737,ATL,28.0,44,27,1305.0,267,565,0.473,146,333,0.438,40,44,0.909,20,140,160,147,49,13,54,99,720,G
202711,2020-21,0,1610612762,UTA,32.0,72,72,2216.0,406,925,0.439,180,461,0.39,233,265,0.879,40,241,281,136,45,4,128,115,1225,F
1629626,2020-21,0,1610612743,DEN,21.0,32,2,160.0,25,58,0.431,9,24,0.375,10,15,0.667,0,24,24,7,3,10,13,14,69,C
1629648,2020-21,0,1610612753,ORL,23.0,14,0,196.0,23,54,0.426,10,32,0.313,0,0,0.0,4,20,24,18,2,0,3,11,56,G
1629067,2020-21,0,1610612764,WAS,21.0,40,8,432.0,30,81,0.37,13,47,0.277,5,8,0.625,18,48,66,23,11,9,22,63,78,G
1626164,2020-21,0,1610612756,PHX,24.0,67,67,2270.0,623,1287,0.484,126,371,0.34,340,392,0.867,34,247,281,289,53,16,207,181,1712,G
1628449,2020-21,0,1610612761,TOR,28.0,60,14,1453.0,288,560,0.514,90,235,0.383,152,193,0.788,117,287,404,63,35,111,46,166,818,F
1628968,2020-21,0,1610612754,IND,22.0,6,0,15.0,1,4,0.25,0,1,0.0,1,1,1.0,0,3,3,0,0,0,0,1,3,F
202340,2020-21,0,1610612748,MIA,30.0,10,1,211.0,31,66,0.47,16,38,0.421,7,9,0.778,2,16,18,14,7,1,9,26,85,G
202340,2020-21,0,1610612745,HOU,30.0,17,5,391.0,33,105,0.314,17,63,0.27,5,6,0.833,6,33,39,32,14,2,19,29,88,G
202340,2020-21,0,0,TOT,30.0,27,6,602.0,64,171,0.374,33,101,0.327,12,15,0.8,8,49,57,46,21,3,28,55,173,G
1628396,2020-21,0,1610612755,PHI,23.0,20,8,287.0,51,75,0.68,0,1,0.0,7,11,0.636,39,65,104,17,6,13,6,28,109,C
1628396,2020-21,0,1610612760,OKC,23.0,22,0,397.0,80,122,0.656,0,2,0.0,31,44,0.705,46,89,135,20,9,17,27,33,191,C
1628396,2020-21,0,0,TOT,23.0,42,8,684.0,131,197,0.665,0,3,0.0,38,55,0.691,85,154,239,37,15,30,33,61,300,C
1629714,2020-21,0,1610612762,UTA,25.0,28,0,138.0,25,52,0.481,12,28,0.429,2,2,1.0,9,18,27,15,7,2,8,17,64,F
1629649,2020-21,0,1610612752,NYK,22.0,4,0,7.0,0,1,0.0,0,0,0.0,2,2,1.0,1,1,2,1,0,0,1,0,2,F
1629649,2020-21,0,1610612755,PHI,22.0,1,0,8.0,0,3,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,F
1629649,2020-21,0,1610612753,ORL,22.0,8,0,234.0,35,79,0.443,11,27,0.407,8,12,0.667,10,31,41,16,4,3,11,22,89,F
1629649,2020-21,0,0,TOT,22.0,13,0,249.0,35,83,0.422,11,28,0.393,10,14,0.714,11,34,45,17,4,3,12,22,91,F
1628969,2020-21,0,1610612756,PHX,24.0,72,72,2348.0,363,669,0.543,134,315,0.425,110,131,0.84,76,233,309,152,76,63,57,116,970,F
1628970,2020-21,0,1610612766,CHA,23.0,66,19,1932.0,313,622,0.503,116,290,0.4,98,113,0.867,81,316,397,147,44,52,106,143,840,F
1629052,2020-21,0,1610612754,IND,23.0,21,16,519.0,73,151,0.483,33,78,0.423,50,65,0.769,29,86,115,18,19,20,10,32,229,F
1627763,2020-21,0,1610612754,IND,28.0,56,56,1930.0,444,980,0.453,145,374,0.388,153,177,0.864,58,236,294,329,49,15,115,110,1186,G
1628415,2020-21,0,1610612763,MEM,25.0,67,67,1997.0,432,1031,0.419,128,372,0.344,159,195,0.815,53,143,196,157,78,26,119,237,1151,G
1628971,2020-21,0,1610612751,BKN,24.0,65,37,1451.0,235,423,0.556,17,59,0.288,86,117,0.735,111,238,349,104,58,28,54,145,573,G
1627759,2020-21,0,1610612738,BOS,24.0,58,58,1999.0,538,1111,0.484,163,411,0.397,191,250,0.764,71,276,347,195,72,32,158,168,1430,G
1629650,2020-21,0,1610612760,OKC,21.0,43,32,920.0,146,268,0.545,0,0,0.0,78,126,0.619,154,229,383,10,31,47,43,93,370,C
1628425,2020-21,0,1610612745,HOU,26.0,51,14,1229.0,150,335,0.448,91,215,0.423,25,31,0.806,38,186,224,72,38,12,41,97,416,G
1629718,2020-21,0,1610612760,OKC,24.0,9,1,152.0,13,43,0.302,5,21,0.238,9,10,0.9,3,14,17,9,4,2,6,19,40,G
1628972,2020-21,0,1610612764,WAS,21.0,21,0,287.0,33,89,0.371,14,46,0.304,10,15,0.667,11,50,61,19,3,4,16,29,90,G
1628972,2020-21,0,1610612741,CHI,21.0,13,0,237.0,29,55,0.527,8,24,0.333,5,6,0.833,9,35,44,10,7,2,5,20,71,G
1628972,2020-21,0,0,TOT,21.0,34,0,523.0,62,144,0.431,22,70,0.314,15,21,0.714,20,85,105,29,10,6,21,49,161,G
1628973,2020-21,0,1610612742,DAL,24.0,68,12,1697.0,328,627,0.523,81,200,0.405,120,151,0.795,27,204,231,239,35,1,80,109,857,G
1628418,2020-21,0,1610612764,WAS,23.0,10,10,271.0,59,91,0.648,9,21,0.429,16,24,0.667,18,43,61,15,4,8,11,31,143,C
