,PLAYER_ID,SCORE,id,player_names,position,team
189,1629659,-1.9599302881679859,1629659,Talen Horton-Tucker,G,LAL
224,1630171,-1.9884332942735379,1630171,Isaac Okoro,F,CLE
45,1627780,-2.040352297204865,1627780,Gary Payton II,G,GSW
57,1627863,-2.0571479789939837,1627863,Danuel House,F,HOU
157,1629599,-2.069143489305359,1629599,Amir Coffey,G,LAC
78,1628392,-2.0812073010897407,1628392,Isaiah Hartenstein,C,CLE
94,1628470,-2.0896495230211545,1628470,Torrey Craig,F,PHX
91,1628449,-2.0988511673075583,1628449,Chris Boucher,F,TOR
149,1629130,-2.1404507530131163,1629130,Duncan Robinson,F,MIA
127,1629008,-2.1737283778808445,1629008,Michael Porter,F,DEN
118,1628993,-2.245515272058781,1628993,Alize Johnson,F,BKN
196,1629671,-2.270447765408201,1629671,Miye Oni,G,UTA
130,1629013,-2.349836205405061,1629013,Landry Shamet,G,BKN
367,203488,-2.3647924190177996,203488,Mike Muscala,F,OKC
66,1628370,-2.3823660902354433,1628370,Malik Monk,G,CHA
107,1628975,-2.4011851321395383,1628975,Jevon Carter,G,PHX
202,1629680,-2.4881256179229907,1629680,Matisse Thybulle,G,PHI
166,1629629,-2.5066177154413016,1629629,Cam Reddish,F,ATL
289,201580,-2.5082435170013246,201580,JaVale McGee,C,DEN
141,1629048,-2.5910998919350385,1629048,Goga Bitadze,C,IND
87,1628418,-2.626403003797007,1628418,Thomas Bryant,C,WAS
173,1629637,-2.6424570366142652,1629637,Jaxson Hayes,C,NOP
13,1626166,-2.6582535775898535,1626166,Cameron Payne,G,PHX
261,1630235,-2.669079137850876,1630235,Trent Forrest,G,UTA
195,1629670,-2.794755331685368,1629670,Jordan Nwora,F,MIL
227,1630174,-3.4758742776086455,1630174,Aaron Nesmith,G,BOS
153,1629185,-3.5456638644858467,1629185,Chris Chiozza,G,BKN
22,1626195,-3.667084883967616,1626195,Willy Hernangomez,C,NOP
212,1629744,-3.6735329872621003,1629744,Matt Thomas,G,UTA
151,1629139,-3.782394907581255,1629139,Yuta Watanabe,G,TOR
190,1629660,-4.140416083884733,1629660,Ty Jerome,G,OKC
258,1630230,-4.142835185381887,1630230,Naji Marshall,F,NOP
111,1628981,-4.6844690345038105,1628981,Bruno Fernando,F,ATL
241,1630192,-4.699318456294383,1630192,Zeke Nnaji,F,DEN
221,1630168,-4.734035035493913,1630168,Onyeka Okongwu,F,ATL
95,1628539,-4.889861355028238,1628539,Mychal Mulder,G,GSW
245,1630198,-4.986805865644677,1630198,Isaiah Joe,G,PHI
133,1629020,-5.351733475856066,1629020,Jarred Vanderbilt,F,MIN
90,1628427,-5.4065597378906975,1628427,Vlatko Cancar,F,DEN
246,1630200,-5.413884733165919,1630200,Tre Jones,G,SAS
264,1630241,-5.600428949483621,1630241,Sam Merrill,G,MIL
254,1630216,-5.619539788663551,1630216,Cassius Winston,G,WAS
260,1630233,-5.629346243217562,1630233,Nathan Knight,F,ATL
250,1630205,-5.8106191502869,1630205,Lamar Stevens,F,CLE
217,1630164,-5.871929920058194,1630164,James Wiseman,C,GSW
27,1626246,-6.939888987893878,1626246,Boban Marjanovic,C,DAL
201,1629677,-7.3332043518594325,1629677,Luka Samanic,F,SAS
159,1629605,-7.423588932091569,1629605,Tacko Fall,C,BOS
187,1629653,-7.528032106903867,1629653,Devon Dotson,G,CHI
257,1630219,-7.529961273923017,1630219,Skylar Mays,G,ATL
251,1630208,-8.004830643591918,1630208,Nick Richards,C,CHA
238,1630188,-8.50504630446739,1630188,Jalen Smith,F,PHX
252,1630210,-8.701314000734145,1630210,Markus Howard,G,DEN
158,1629604,-8.933761752639258,1629604,CJ Elleby,F,POR
243,1630194,-9.235426402005633,1630194,Paul Reed,F,PHI
412,2617,-9.457478692292172,2617,Udonis Haslem,F,MIA
192,1629663,-9.950652335273425,1629663,Louis King,F,SAC
262,1630238,-11.719004667794477,1630238,Malik Fitts,F,LAC
