,GAME_ID
14418,0022000001
14419,0022000001
14420,0022000002
14421,0022000002
14422,0022000003
14423,0022000003
14424,0022000013
14425,0022000013
14426,0022000017
14427,0022000017
14428,0022000018
14429,0022000018
14430,0022000015
14431,0022000015
14432,0022000019
14433,0022000019
14434,0022000020
14435,0022000020
14436,0022000004
14437,0022000004
14438,0022000012
14439,0022000012
14440,0022000011
14441,0022000011
14442,0022000010
14443,0022000010
14444,0022000014
14445,0022000014
14446,0022000005
14447,0022000005
14448,0022000006
14449,0022000006
14450,0022000007
14451,0022000007
14452,0022000008
14453,0022000008
14454,0022000009
14455,0022000009
14456,0022000027
14457,0022000027
14458,0022000026
14459,0022000026
14460,0022000025
14461,0022000025
14462,0022000023
14463,0022000023
14464,0022000029
14465,0022000029
14466,0022000028
14467,0022000028
14468,0022000030
14469,0022000030
14470,0022000022
14471,0022000022
14472,0022000024
14473,0022000024
14474,0022000021
14475,0022000021
14476,0022000040
14477,0022000040
14478,0022000038
14479,0022000038
14480,0022000036
14481,0022000036
14482,0022000031
14483,0022000031
14484,0022000035
14485,0022000035
14486,0022000037
14487,0022000037
14488,0022000039
14489,0022000039
14490,0022000032
14491,0022000032
14492,0022000033
14493,0022000033
14494,0022000034
14495,0022000034
14496,0022000045
14497,0022000045
14498,0022000042
14499,0022000042
14500,0022000041
14501,0022000041
14502,0022000044
14503,0022000044
14504,0022000043
14505,0022000043
14506,0022000049
14507,0022000049
14508,0022000053
14509,0022000053
14510,0022000054
14511,0022000054
14512,0022000046
14513,0022000046
14514,0022000051
14515,0022000051
14516,0022000047
14517,0022000047
14518,0022000048
14519,0022000048
14520,0022000055
14521,0022000055
14522,0022000050
14523,0022000050
14524,0022000052
14525,0022000052
14526,0022000060
14527,0022000060
14528,0022000056
14529,0022000056
14530,0022000057
14531,0022000057
14532,0022000061
14533,0022000061
14534,0022000058
14535,0022000058
14536,0022000059
14537,0022000059
14538,0022000064
14539,0022000064
14540,0022000065
14541,0022000065
14542,0022000068
14543,0022000068
14544,0022000062
14545,0022000062
14546,0022000063
14547,0022000063
14548,0022000066
14549,0022000066
14550,0022000067
14551,0022000067
14552,0022000078
14553,0022000078
14554,0022000075
14555,0022000075
14556,0022000072
14557,0022000072
14558,0022000070
14559,0022000070
14560,0022000073
14561,0022000073
14562,0022000077
14563,0022000077
14564,0022000071
14565,0022000071
14566,0022000076
14567,0022000076
14568,0022000074
14569,0022000074
14570,0022000069
14571,0022000069
14572,0022000082
14573,0022000082
14574,0022000081
14575,0022000081
14576,0022000079
14577,0022000079
14578,0022000080
14579,0022000080
14580,0022000083
14581,0022000083
14582,0022000084
14583,0022000084
14584,0022000092
14585,0022000092
14586,0022000089
14587,0022000089
14588,0022000090
14589,0022000090
14590,0022000091
14591,0022000091
14592,0022000086
14593,0022000086
14594,0022000085
14595,0022000085
14596,0022000088
14597,0022000088
14598,0022000087
14599,0022000087
14600,0022000094
14601,0022000094
14602,0022000101
14603,0022000101
14604,0022000093
14605,0022000093
14606,0022000098
14607,0022000098
14608,0022000096
14609,0022000096
14610,0022000099
14611,0022000099
14612,0022000095
14613,0022000095
14614,0022000097
14615,0022000097
14616,0022000100
14617,0022000100
14618,0022000102
14619,0022000102
14620,0022000105
14621,0022000105
14622,0022000106
14623,0022000106
14624,0022000104
14625,0022000104
14626,0022000103
14627,0022000103
14628,0022000116
14629,0022000116
14630,0022000109
14631,0022000109
14632,0022000112
14633,0022000112
14634,0022000115
14635,0022000115
14636,0022000108
14637,0022000108
14638,0022000111
14639,0022000111
14640,0022000113
14641,0022000113
14642,0022000107
14643,0022000107
14644,0022000110
14645,0022000110
14646,0022000117
14647,0022000117
14648,0022000114
14649,0022000114
14650,0022000121
14651,0022000121
14652,0022000118
14653,0022000118
14654,0022000122
14655,0022000122
14656,0022000120
14657,0022000120
14658,0022000119
14659,0022000119
14660,0022000130
14661,0022000130
14662,0022000131
14663,0022000131
14664,0022000125
14665,0022000125
14666,0022000124
14667,0022000124
14668,0022000127
14669,0022000127
14670,0022000123
14671,0022000123
14672,0022000129
14673,0022000129
14674,0022000132
14675,0022000132
14676,0022000128
14677,0022000128
14678,0022000126
14679,0022000126
14680,0022000133
14681,0022000133
14682,0022000137
14683,0022000137
14684,0022000135
14685,0022000135
14686,0022000139
14687,0022000139
14688,0022000140
14689,0022000140
14690,0022000138
14691,0022000138
14692,0022000134
14693,0022000134
14694,0022000136
14695,0022000136
14696,0022000148
14697,0022000148
14698,0022000144
14699,0022000144
14700,0022000143
14701,0022000143
14702,0022000142
14703,0022000142
14704,0022000146
14705,0022000146
14706,0022000141
14707,0022000141
14708,0022000147
14709,0022000147
14710,0022000151
14711,0022000151
14712,0022000150
14713,0022000150
14714,0022000155
14715,0022000155
14716,0022000153
14717,0022000153
14718,0022000156
14719,0022000156
14720,0022000149
14721,0022000149
14722,0022000152
14723,0022000152
14724,0022000157
14725,0022000157
14726,0022000163
14727,0022000163
14728,0022000158
14729,0022000158
14730,0022000161
14731,0022000161
14732,0022000159
14733,0022000159
14734,0022000162
14735,0022000162
14736,0022000168
14737,0022000168
