,GAME_ID,TEAM_ID,TEAM_CITY,TEAM_NAME,PERSON_ID,PLAYER_FIRST,PLAYER_LAST,IN_TIME_REAL,OUT_TIME_REAL,PLAYER_PTS,PT_DIFF,USG_PCT
0,0022000001,1610612744,Golden State,Warriors,201939,Stephen,Curry,0.0,7200.0,9.0,-15.0,0.265
1,0022000001,1610612744,Golden State,Warriors,201939,Stephen,Curry,10610.0,21600.0,11.0,-8.0,0.347
2,0022000001,1610612744,Golden State,Warriors,202954,Brad,Wanamaker,7200.0,13000.0,0.0,-1.0,0.038
3,0022000001,1610612744,Golden State,Warriors,202954,Brad,Wanamaker,21600.0,28800.0,3.0,2.0,0.133
4,0022000001,1610612744,Golden State,Warriors,203145,Kent,Bazemore,3600.0,7200.0,2.0,-1.0,0.105
5,0022000001,1610612744,Golden State,Warriors,203145,Kent,Bazemore,18250.0,21600.0,0.0,-2.0,0.143
6,0022000001,1610612744,Golden State,Warriors,203952,Andrew,Wiggins,0.0,3600.0,2.0,-14.0,0.267
7,0022000001,1610612744,Golden State,Warriors,203952,Andrew,Wiggins,5710.0,10610.0,3.0,-1.0,0.348
8,0022000001,1610612744,Golden State,Warriors,203952,Andrew,Wiggins,12420.0,18250.0,6.0,-7.0,0.25
9,0022000001,1610612744,Golden State,Warriors,203952,Andrew,Wiggins,20430.0,24840.0,2.0,-6.0,0.158
10,0022000001,1610612744,Golden State,Warriors,1626162,Kelly,Oubre Jr.,0.0,5710.0,4.0,-19.0,0.308
11,0022000001,1610612744,Golden State,Warriors,1626162,Kelly,Oubre Jr.,10750.0,20430.0,2.0,-9.0,0.205
12,0022000001,1610612744,Golden State,Warriors,1626172,Kevon,Looney,2800.0,5970.0,0.0,-9.0,0.188
13,0022000001,1610612744,Golden State,Warriors,1626172,Kevon,Looney,16830.0,20430.0,4.0,-1.0,0.2
14,0022000001,1610612744,Golden State,Warriors,1627737,Marquese,Chriss,5970.0,9720.0,5.0,-1.0,0.222
15,0022000001,1610612744,Golden State,Warriors,1627737,Marquese,Chriss,20430.0,24140.0,4.0,-5.0,0.375
16,0022000001,1610612744,Golden State,Warriors,1627814,Damion,Lee,4520.0,7200.0,0.0,0.0,0.0
17,0022000001,1610612744,Golden State,Warriors,1627814,Damion,Lee,24140.0,28800.0,3.0,8.0,0.105
18,0022000001,1610612744,Golden State,Warriors,1628539,Mychal,Mulder,24840.0,28800.0,8.0,9.0,0.188
19,0022000001,1610612744,Golden State,Warriors,1629308,Juan,Toscano-Anderson,9720.0,12420.0,0.0,1.0,0.0
20,0022000001,1610612744,Golden State,Warriors,1629308,Juan,Toscano-Anderson,13000.0,18250.0,4.0,-10.0,0.083
21,0022000001,1610612744,Golden State,Warriors,1629672,Eric,Paschall,0.0,4520.0,1.0,-15.0,0.158
22,0022000001,1610612744,Golden State,Warriors,1629672,Eric,Paschall,7200.0,9720.0,0.0,-5.0,0.091
23,0022000001,1610612744,Golden State,Warriors,1629672,Eric,Paschall,18250.0,24140.0,5.0,-8.0,0.12
24,0022000001,1610612744,Golden State,Warriors,1629673,Jordan,Poole,7200.0,10750.0,2.0,-5.0,0.133
25,0022000001,1610612744,Golden State,Warriors,1629673,Jordan,Poole,21600.0,28800.0,0.0,2.0,0.133
26,0022000001,1610612744,Golden State,Warriors,1630164,James,Wiseman,0.0,2800.0,2.0,-10.0,0.182
27,0022000001,1610612744,Golden State,Warriors,1630164,James,Wiseman,9720.0,16830.0,7.0,-8.0,0.242
28,0022000001,1610612744,Golden State,Warriors,1630164,James,Wiseman,24140.0,28800.0,10.0,8.0,0.421
0,0022000001,1610612751,Brooklyn,Nets,201142,Kevin,Durant,0.0,5490.0,10.0,13.0,0.333
1,0022000001,1610612751,Brooklyn,Nets,201142,Kevin,Durant,10310.0,19780.0,12.0,13.0,0.255
2,0022000001,1610612751,Brooklyn,Nets,201145,Jeff,Green,5490.0,8660.0,2.0,3.0,0.083
3,0022000001,1610612751,Brooklyn,Nets,201145,Jeff,Green,12260.0,14400.0,2.0,1.0,0.2
4,0022000001,1610612751,Brooklyn,Nets,201145,Jeff,Green,19780.0,24840.0,3.0,2.0,0.095
5,0022000001,1610612751,Brooklyn,Nets,201599,DeAndre,Jordan,0.0,3600.0,0.0,14.0,0.059
6,0022000001,1610612751,Brooklyn,Nets,201599,DeAndre,Jordan,9480.0,12260.0,0.0,-1.0,0.143
7,0022000001,1610612751,Brooklyn,Nets,201599,DeAndre,Jordan,14400.0,18250.0,4.0,8.0,0.222
8,0022000001,1610612751,Brooklyn,Nets,202681,Kyrie,Irving,0.0,5710.0,17.0,19.0,0.346
9,0022000001,1610612751,Brooklyn,Nets,202681,Kyrie,Irving,10310.0,19780.0,9.0,13.0,0.191
10,0022000001,1610612751,Brooklyn,Nets,203915,Spencer,Dinwiddie,0.0,4520.0,0.0,15.0,0.1
11,0022000001,1610612751,Brooklyn,Nets,203915,Spencer,Dinwiddie,8660.0,12260.0,0.0,1.0,0.167
12,0022000001,1610612751,Brooklyn,Nets,203915,Spencer,Dinwiddie,14400.0,18250.0,9.0,8.0,0.333
13,0022000001,1610612751,Brooklyn,Nets,203925,Joe,Harris,0.0,4520.0,6.0,15.0,0.25
14,0022000001,1610612751,Brooklyn,Nets,203925,Joe,Harris,10310.0,18250.0,4.0,6.0,0.128
15,0022000001,1610612751,Brooklyn,Nets,204020,Tyler,Johnson,25210.0,28800.0,0.0,-12.0,0.059
16,0022000001,1610612751,Brooklyn,Nets,1627747,Caris,LeVert,4520.0,10310.0,12.0,5.0,0.435
