,PLAYER_ID,SCORE,id,player_names,position,team
218,1630168,-2.2370431689269252,1630168,Onyeka Okongwu,F,ATL
143,1629067,-2.2736348739841907,1629067,Isaac Bonga,G,WAS
156,1629605,-2.2755316047693492,1629605,Tacko Fall,C,BOS
171,1629638,-2.3245119178279916,1629638,Nickeil Alexander-Walker,G,NOP
361,203486,-2.357289350802007,203486,Mason Plumlee,F,DET
322,202694,-2.3589465922586212,202694,Marcus Morris,F,LAC
374,203524,-2.37155243694199,203524,Solomon Hill,F,ATL
120,1629002,-2.3751422941189118,1629002,Chimezie Metu,F,SAC
320,202692,-2.3880566072342466,202692,Alec Burks,G,NYK
302,201980,-2.4546157153341914,201980,Danny Green,G,PHI
87,1628427,-2.458329465815295,1628427,Vlatko Cancar,F,DEN
339,203085,-2.45977544149229,203085,Austin Rivers,G,DEN
238,1630192,-2.4781805062287106,1630192,Zeke Nnaji,F,DEN
289,201588,-2.4812023621344443,201588,George Hill,G,PHI
11,1626163,-2.4824420405673364,1626163,Frank Kaminsky,F,PHX
327,202709,-2.5072341826874767,202709,Cory Joseph,G,DET
199,1629680,-2.5203866373705637,1629680,Matisse Thybulle,G,PHI
0,101108,-2.600306265204883,101108,Chris Paul,G,PHX
312,202355,-2.6141520486111127,202355,Hassan Whiteside,C,SAC
175,1629642,-2.6315469911545906,1629642,Nassir Little,F,POR
67,1628373,-2.680876791499417,1628373,Frank Ntilikina,G,NYK
321,202693,-2.706047923114342,202693,Markieff Morris,F,LAL
40,1627759,-2.7178925921471793,1627759,Jaylen Brown,G,BOS
64,1628369,-2.7321699881644874,1628369,Jayson Tatum,F,BOS
235,1630188,-2.8664556379584636,1630188,Jalen Smith,F,PHX
78,1628400,-2.877309180088395,1628400,Semi Ojeleye,F,BOS
281,201568,-2.8878761728031748,201568,Danilo Gallinari,F,ATL
12,1626164,-2.898819693518492,1626164,Devin Booker,G,PHX
319,202689,-2.909892019390139,202689,Kemba Walker,G,BOS
89,1628464,-2.966205592780214,1628464,Daniel Theis,F,CHI
386,203924,-2.9691367778184796,203924,Jerami Grant,F,DET
325,202699,-2.9801927214764796,202699,Tobias Harris,F,PHI
409,2738,-2.98177220235221,2738,Andre Iguodala,G,MIA
249,1630210,-2.9839926874007037,1630210,Markus Howard,G,DEN
28,1627732,-3.0779550637570603,1627732,Ben Simmons,G,PHI
245,1630202,-3.1504444416954986,1630202,Payton Pritchard,G,BOS
131,1629021,-3.425486220143227,1629021,Moritz Wagner,F,ORL
195,1629673,-3.517052755108132,1629673,Jordan Poole,G,GSW
293,201935,-3.5575095643848007,201935,James Harden,G,BKN
264,1630267,-3.6984893245658097,1630267,Facundo Campazzo,G,DEN
228,1630178,-3.7738182855182707,1630178,Tyrese Maxey,G,PHI
180,1629649,-3.7852475055544246,1629649,Ignas Brazdeikis,F,ORL
124,1629008,-4.140668437156871,1629008,Michael Porter,F,DEN
141,1629057,-4.252653147361394,1629057,Robert Williams,C,BOS
214,1630164,-4.30200848696233,1630164,James Wiseman,C,GSW
224,1630174,-4.3137810615234,1630174,Aaron Nesmith,G,BOS
92,1628539,-4.360080062488868,1628539,Mychal Mulder,G,GSW
286,201580,-4.729927403653601,201580,JaVale McGee,C,DEN
396,203953,-4.916955022749965,203953,Jabari Parker,F,BOS
300,201961,-5.089548257794464,201961,Wayne Ellington,G,DET
194,1629672,-6.879719689960477,1629672,Eric Paschall,F,GSW
