,GAME_ID
12300,0021900002
12301,0021900002
12302,0021900001
12303,0021900001
12304,0021900008
12305,0021900008
12306,0021900010
12307,0021900010
12308,0021900012
12309,0021900012
12310,0021900006
12311,0021900006
12312,0021900005
12313,0021900005
12314,0021900007
12315,0021900007
12316,0021900013
12317,0021900013
12318,0021900004
12319,0021900004
12320,0021900011
12321,0021900011
12322,0021900009
12323,0021900009
12324,0021900003
12325,0021900003
12326,0021900016
12327,0021900016
12328,0021900015
12329,0021900015
12330,0021900014
12331,0021900014
12332,0021900025
12333,0021900025
12334,0021900019
12335,0021900019
12336,0021900017
12337,0021900017
12338,0021900024
12339,0021900024
12340,0021900023
12341,0021900023
12342,0021900018
12343,0021900018
12344,0021900020
12345,0021900020
12346,0021900021
12347,0021900021
12348,0021900022
12349,0021900022
12350,0021900033
12351,0021900033
12352,0021900031
12353,0021900031
12354,0021900029
12355,0021900029
12356,0021900035
12357,0021900035
12358,0021900032
12359,0021900032
12360,0021900030
12361,0021900030
12362,0021900027
12363,0021900027
12364,0021900026
12365,0021900026
12366,0021900034
12367,0021900034
12368,0021900028
12369,0021900028
12370,0021900040
12371,0021900040
12372,0021900038
12373,0021900038
12374,0021900039
12375,0021900039
12376,0021900037
12377,0021900037
12378,0021900036
12379,0021900036
12380,0021900048
12381,0021900048
12382,0021900042
12383,0021900042
12384,0021900049
12385,0021900049
12386,0021900051
12387,0021900051
12388,0021900045
12389,0021900045
12390,0021900041
12391,0021900041
12392,0021900046
12393,0021900046
12394,0021900043
12395,0021900043
12396,0021900050
12397,0021900050
12398,0021900044
12399,0021900044
12400,0021900047
12401,0021900047
12402,0021900054
12403,0021900054
12404,0021900052
12405,0021900052
12406,0021900053
12407,0021900053
12408,0021900057
12409,0021900057
12410,0021900065
12411,0021900065
12412,0021900059
12413,0021900059
12414,0021900058
12415,0021900058
12416,0021900056
12417,0021900056
12418,0021900055
12419,0021900055
12420,0021900063
12421,0021900063
12422,0021900064
12423,0021900064
12424,0021900060
12425,0021900060
12426,0021900061
12427,0021900061
12428,0021900062
12429,0021900062
12430,0021900068
12431,0021900068
12432,0021900066
12433,0021900066
12434,0021900067
12435,0021900067
12436,0021900076
12437,0021900076
12438,0021900073
12439,0021900073
12440,0021900069
12441,0021900069
12442,0021900072
12443,0021900072
12444,0021900071
12445,0021900071
12446,0021900070
12447,0021900070
12448,0021900074
12449,0021900074
12450,0021900075
12451,0021900075
12452,0021900083
12453,0021900083
12454,0021900079
12455,0021900079
12456,0021900078
12457,0021900078
12458,0021900084
12459,0021900084
12460,0021900082
12461,0021900082
12462,0021900080
12463,0021900080
12464,0021900081
12465,0021900081
12466,0021900077
12467,0021900077
12468,0021900088
12469,0021900088
12470,0021900087
12471,0021900087
12472,0021900090
12473,0021900090
12474,0021900089
12475,0021900089
12476,0021900086
12477,0021900086
12478,0021900085
12479,0021900085
12480,0021900096
12481,0021900096
12482,0021900095
12483,0021900095
12484,0021900092
12485,0021900092
12486,0021900094
12487,0021900094
12488,0021900091
12489,0021900091
12490,0021900093
12491,0021900093
12492,0021900100
12493,0021900100
12494,0021900098
12495,0021900098
12496,0021900099
12497,0021900099
12498,0021900102
12499,0021900102
12500,0021900097
12501,0021900097
12502,0021900101
12503,0021900101
12504,0021900111
12505,0021900111
12506,0021900107
12507,0021900107
12508,0021900103
12509,0021900103
12510,0021900110
12511,0021900110
12512,0021900105
12513,0021900105
12514,0021900104
12515,0021900104
12516,0021900109
12517,0021900109
12518,0021900106
12519,0021900106
12520,0021900108
12521,0021900108
12522,0021900113
12523,0021900113
12524,0021900114
12525,0021900114
12526,0021900115
12527,0021900115
12528,0021900112
12529,0021900112
12530,0021900126
12531,0021900126
12532,0021900117
