player_name;2020/21
Terrence Ross;$13,500,000
Malik Beasley;$13,425,895
Patrick Beverley;$13,333,333
Christian Wood;$13,015,874
JJ Redick;$13,013,700
Justise Winslow;$13,000,000
Marcus Smart;$12,946,428
Jusuf Nurkic;$12,888,889
Kelly Olynyk;$12,819,650
Trevor Ariza;$12,800,000
Brook Lopez;$12,697,675
Dion Waiters;$12,650,000
Cory Joseph;$12,600,000
Markelle Fultz;$12,288,697
Taurean Prince;$12,250,000
Tony Snell;$12,178,571
Robert Covington;$12,138,345
Kentavious Caldwell-Pope;$12,073,020
TJ Warren;$12,000,000
Larry Nance Jr;$11,709,091
Nicolas Batum;$11,608,231
Jordan Clarkson;$11,500,000
Spencer Dinwiddie;$11,454,048
Dillon Brooks;$11,400,000
Dwight Powell;$11,080,125
Lonzo Ball;$11,003,782
Norman Powell;$10,865,952
Josh Richardson;$10,865,952
Jeremy Lamb;$10,500,000
DeAndre Jordan;$10,375,678
Joe Ingles;$10,363,637
Zion Williamson;$10,245,480
Paul Millsap;$10,100,000
Rodney Hood;$10,047,450
Deandre Ayton;$10,018,200
Tomas Satoransky;$10,000,000
Jayson Tatum;$9,897,120
Anthony Edwards;$9,757,440
Al-Farouq Aminu;$9,720,900
Dante Exum;$9,600,000
George Hill;$9,590,602
De'Anthony Melton;$9,571,712
Kyle Anderson;$9,505,100
Meyers Leonard;$9,400,000
Derrick Favors;$9,258,000
Derrick Jones;$9,258,000
Jae Crowder;$9,258,000
Montrezl Harrell;$9,258,000
Serge Ibaka;$9,258,000
Tristan Thompson;$9,258,000
Dario Saric;$9,250,000
Ja Morant;$9,166,800
Delon Wright;$9,000,000
Marvin Bagley;$8,963,640
Cedi Osman;$8,840,580
Tyus Jones;$8,817,143
James Wiseman;$8,730,240
Royce O'Neale;$8,500,000
Maxi Kleber;$8,475,000
Thomas Bryant;$8,333,333
RJ Barrett;$8,231,760
Jakob Poeltl;$8,101,852
De'Aaron Fox;$8,099,627
Luka Doncic;$8,049,360
Mason Plumlee;$8,000,000
Louis Williams;$8,000,000
PJ Tucker;$7,969,537
LaMelo Ball;$7,839,960
Seth Curry;$7,834,449
Derrick Rose;$7,682,926
Cristiano Felicio;$7,529,020
Rajon Rondo;$7,500,000
De'Andre Hunter;$7,422,000
Jonathan Isaac;$7,362,565
Doug McDermott;$7,333,333
Robin Lopez;$7,300,000
Jaren Jackson Jr;$7,257,360
JaMychal Green;$7,199,760
Nemanja Bjelica;$7,150,000
Patrick Williams;$7,068,360
Aron Baynes;$7,000,000
Darius Miller;$7,000,000
Ivica Zubac;$7,000,000
Jabari Parker;$6,930,729
Lauri Markkanen;$6,731,508
Darius Garland;$6,720,720
DJ Augustin;$6,666,667
Trae Young;$6,571,800
Chris Boucher;$6,500,000
Juan Hernangomez;$6,493,000
Joakim Noah;$6,431,666
Isaac Okoro;$6,400,920
Frank Ntilikina;$6,176,578
DeMarre Carroll;$6,119,676
Jarrett Culver;$6,104,280
Ishmael Smith;$6,000,000
Alec Burks;$6,000,000
Mo Bamba;$5,969,040
Onyeka Okongwu;$5,813,640
Justin Holiday;$5,720,400
Dennis Smith;$5,686,677
Avery Bradley;$5,635,000
Timofey Mozgov;$5,573,333
Coby White;$5,572,680
Trey Lyles;$5,500,000
Wendell Carter;$5,448,840
Zach Collins;$5,406,255
Malik Monk;$5,345,687
Killian Hayes;$5,307,120
Luke Kennard;$5,273,826
Ryan Anderson;$5,214,583
Donovan Mitchell;$5,195,501
Rodney McGruder;$5,192,307
Bam Adebayo;$5,115,492
Justin Jackson;$5,109,637
Jaxson Hayes;$5,105,160
Richaun Holmes;$5,005,350
Enes Kanter;$5,005,350
Mike Scott;$5,005,350
Ed Davis;$5,005,350
Nerlens Noel;$5,000,000
Luol Deng;$5,000,000
Daniel Theis;$5,000,000
Collin Sexton;$4,991,880
Pat Connaughton;$4,938,273
Obi Toppin;$4,862,040
Kevon Looney;$4,821,429
Elfrid Payton;$4,767,000
Josh Jackson;$4,767,000
Garrett Temple;$4,767,000
Kris Dunn;$4,767,000
Rui Hachimura;$4,692,840
Denzel Valentine;$4,642,800
Kevin Knox;$4,588,680
DJ Wilson;$4,548,280
Deni Avdija;$4,469,160
Cam Reddish;$4,458,000
TJ Leaf;$4,431,423
Mikal Bridges;$4,359,000
Jalen Smith;$4,245,720
Cameron Johnson;$4,235,160
Reggie Bullock;$4,200,000
JaVale McGee;$4,200,000
Shai Gilgeous-Alexander;$4,141,320
John Collins;$4,137,302
Willie Cauley-Stein;$4,100,000
Devin Vassell;$4,033,440
PJ Washington;$4,023,600
Patrick McCaw;$4,000,000
Dorian Finney-Smith;$4,000,000
Alex Len;$3,970,648
Terrance Ferguson;$3,944,013
Miles Bridges;$3,934,320
Austin Rivers;$3,929,049
Jevon Carter;$3,925,000
Jarrett Allen;$3,909,902
Nicolo Melli;$3,897,436
OG Anunoby;$3,872,215
Gabriel Deck;$3,870,370
Tyrese Haliburton;$3,831,840
Tyler Herro;$3,822,240
Patrick Patterson;$3,814,771
Stanley Johnson;$3,804,150
Jake Layman;$3,761,085
Jerome Robinson;$3,737,520
Danuel House;$3,717,000
Kira Lewis;$3,640,200
Romeo Langford;$3,631,200
Moe Harkless;$3,623,000
Bobby Portis;$3,623,000
Wesley Matthews;$3,623,000
Wayne Ellington;$3,564,753
Kyle Kuzma;$3,562,178
Michael Porter;$3,550,800
Tony Bradley;$3,542,060
Derrick White;$3,516,284
Luca Vildoza;$3,500,000
TJ McConnell;$3,500,000
Boban Marjanovic;$3,500,000
Bismack Biyombo;$3,500,000
Josh Hart;$3,491,159
Aaron Nesmith;$3,458,400
Sekou Doumbouya;$3,449,400
Dewayne Dedmon;$3,447,478
Troy Brown;$3,372,840
Jeff Teague;$3,372,826
James Ennis;$3,300,000
Michael Carter-Williams;$3,300,000
Cole Anthony;$3,285,120
Taj Gibson;$3,283,684
Facundo Campazzo;$3,200,000
Jon Leuer;$3,169,348
Chuma Okeke;$3,121,080
Isaiah Stewart;$3,121,080
Nickeil Alexander-Walker;$3,113,160
DeMarcus Cousins;$3,051,832
Donte DiVincenzo;$3,044,160
Khem Birch;$3,011,499
Trey Burke;$3,000,000
Ryan Arcidiacono;$3,000,000
Aleksej Pokusevski;$2,964,840
Goga Bitadze;$2,957,520
Lonnie Walker;$2,895,720
Ben McLemore;$2,893,630
Andrew Nicholson;$2,844,429
Luka Samanic;$2,824,320
Josh Green;$2,816,760
Kevin Huerter;$2,761,920
Marko Guduric;$2,750,000
Alex Caruso;$2,750,000
Matisse Thybulle;$2,711,280
Saddiq Bey;$2,689,920
Josh Okogie;$2,651,040
Vincent Poirier;$2,619,207
Brandon Clarke;$2,602,920
Precious Achiuwa;$2,582,160
Carmelo Anthony;$2,564,753
Dwight Howard;$2,564,753
Udonis Haslem;$2,564,753
Jared Dudley;$2,564,753
Marc Gasol;$2,564,753
Jose Juan Barea;$2,564,753
Jeff Green;$2,564,753
Grayson Allen;$2,545,320
Grant Williams;$2,498,760
Tyrese Maxey;$2,478,840
Chandler Hutchison;$2,443,440
Mfiondu Kabengele;$2,432,353
Darius Bazley;$2,399,160
Moritz Wagner;$2,383,915
Zeke Nnaji;$2,379,840
Aaron Holiday;$2,345,640
Bryn Forbes;$2,337,145
E'Twaun Moore;$2,331,593
Markieff Morris;$2,331,593
Reggie Jackson;$2,331,593
Hassan Whiteside;$2,320,044
Kent Bazemore;$2,320,044
Ty Jerome;$2,303,040
Mike Muscala;$2,283,034
Anfernee Simons;$2,252,040
Brad Wanamaker;$2,250,000
Luke Kornet;$2,250,000
Monta Ellis;$2,245,400
Nassir Little;$2,210,640
RJ Hampton;$2,193,480
Matthew Dellavedova;$2,174,318
Solomon Hill;$2,174,318
Edmond Sumner;$2,160,000
Anderson Varejao;$2,141,713
Dylan Windler;$2,137,440
Immanuel Quickley;$2,105,520
John Konchar;$2,100,000
Landry Shamet;$2,090,040
Jordan Poole;$2,063,280
Bol Bol;$2,058,240
Keldon Johnson;$2,048,040
Payton Pritchard;$2,035,800
Robert Williams;$2,029,920
Langston Galloway;$2,028,594
Bruno Caboclo;$2,028,594
Tyler Johnson;$2,028,594
Gary Clark;$2,018,458
Jacob Evans;$2,017,320
Spencer Hawes;$2,007,058
Dzanan Musa;$2,002,800
Theo Maledon;$2,000,000
Kenrich Williams;$2,000,000
Damyean Dotson;$2,000,000
Omari Spellman;$1,988,280
Quinn Cook;$1,981,649
Cameron Payne;$1,977,011
Mario Hezonja;$1,977,011
Udoka Azubuike;$1,977,000
Jaden McDaniels;$1,964,760
Malachi Flynn;$1,950,600
Desmond Bane;$1,936,440
Jontay Porter;$1,900,000
Raul Neto;$1,882,867
JaKarr Sampson;$1,882,867
Jahlil Okafor;$1,882,867
Larry Sanders;$1,865,546
Marquese Chriss;$1,824,003
David Nwaba;$1,824,003
Timothe Luwawu;$1,824,003
Georges Niang;$1,783,557
Rodions Kurucs;$1,780,152
Furkan Korkmaz;$1,762,796
Alfonzo McKinnie;$1,762,796
Damion Lee;$1,762,796
PJ Dozier;$1,762,796
Abdel Nader;$1,752,950
Semi Ojeleye;$1,752,950
DeAndre Bembry;$1,737,145
Frank Kaminsky;$1,737,145
Willy Hernangomez;$1,737,145
Thon Maker;$1,737,145
Monte Morris;$1,723,707
Kevin Porter;$1,717,981
Shake Milton;$1,701,593
Thanasis Antetokounmpo;$1,701,593
Brandon Goodwin;$1,701,593
Ignas Brazdeikis;$1,686,315
Torrey Craig;$1,678,854
Dwayne Bacon;$1,678,854
Wesley Iwundu;$1,678,854
Sterling Brown;$1,678,854
Isaac Bonga;$1,663,861
Gary Trent Jr;$1,663,861
Sviatoslav Mykhailiuk;$1,663,861
Mitchell Robinson;$1,663,861
Jarred Vanderbilt;$1,663,861
Kendrick Nunn;$1,663,861
Duncan Robinson;$1,663,861
Hamidou Diallo;$1,663,861
Jalen Brunson;$1,663,861
Devonte Graham;$1,663,861
Bruce Brown;$1,663,861
Drew Eubanks;$1,620,564
Harry Giles;$1,620,564
Josh Gray;$1,620,564
Wenyen Gabriel;$1,620,564
Isaiah Hartenstein;$1,620,564
Daniel Gafford;$1,517,981
Matt Thomas;$1,517,981
Juwan Morgan;$1,517,981
Miye Oni;$1,517,981
Chris Silva;$1,517,981
Terence Davis;$1,517,981
Justin James;$1,517,981
Admiral Schofield;$1,517,981
Isaiah Roby;$1,517,981
Luguentz Dort;$1,517,981
Jaylen Nowell;$1,517,981
Naz Reid;$1,517,981
KZ Okpala;$1,517,981
Talen Horton-Tucker;$1,517,981
Terance Mann;$1,517,981
Jalen Lecque;$1,517,981
Chris Clemons;$1,517,981
Mychal Mulder;$1,517,981
Alen Smailagic;$1,517,981
Eric Paschall;$1,517,981
Vlatko Cancar;$1,517,981
Dean Wade;$1,517,981
Javonte Green;$1,517,981
Jalen McDaniels;$1,517,981
Caleb Martin;$1,517,981
Cody Martin;$1,517,981
Nicolas Claxton;$1,517,981
Carsen Edwards;$1,517,981
Bruno Fernando;$1,517,981
Robert Woodard;$1,500,000
Damian Jones;$1,487,284
JR Smith;$1,456,667
Paul Watson;$1,445,697
Zylan Cheatham;$1,445,697
Kelan Martin;$1,445,697
DaQuan Jeffries;$1,445,697
Jae'Sean Tate;$1,445,697
Vernon Carey;$1,350,000
Xavier Tillman;$1,300,000
Tyrell Terry;$1,289,846
Oshae Brissett;$1,255,493
Moses Brown;$1,250,000
Sindarius Thornwell;$1,235,889
Ersan Ilyasova;$1,194,542
Glenn Robinson III;$1,165,322
Zhaire Smith;$1,068,200
Khyri Thomas;$1,061,283
Guerschon Yabusele;$1,039,080
Norvel Pelle;$1,014,905
Jahmi'us Ramsey;$1,000,000
Lamar Stevens;$1,000,000
Nick Richards;$1,000,000
Kyle Singler;$999,200
Juan Toscano-Anderson;$943,963
Shaquille Harrison;$915,048
Chimezie Metu;$910,895
Anthony Gill;$898,310
Elijah Hughes;$898,310
Tre Jones;$898,310
CJ Elleby;$898,310
Isaiah Joe;$898,310
Sam Merrill;$898,310
Jordan Nwora;$898,310
Daniel Oturu;$898,310
KJ Martin;$898,310
Deividas Sirvydis;$898,310
Iman Shumpert;$803,044
Theo Pinson;$802,182
Yuta Watanabe;$737,996
Tremont Waters;$712,278
Frank Jackson;$699,115
Rayjon Tucker;$693,755
Tyler Cook;$693,141
Garrison Mathews;$688,052
Cole Aldrich;$685,340
Shaun Livingston;$666,666
Gabe Vincent;$660,750
Tacko Fall;$653,924
Max Strus;$647,098
Alize Johnson;$621,587
Anthony Tolliver;$614,838
Paul Reed;$609,128
Tim Frazier;$597,463
Jordan Bell;$592,368
Amir Coffey;$578,842
Naji Marshall;$538,391
Kyle Guy;$537,888
Markus Howard;$535,294
Skylar Mays;$532,218
Mamadi Diakite;$529,341
Nathan Knight;$522,989
Jared Harper;$520,487
Saben Lee;$516,836
Jarrell Brantley;$510,586
Jordan McLaughlin;$503,760
Rondae Hollis-Jefferson;$502,957
Reggie Perry;$489,148
Trent Forrest;$470,690
Cassius Stanley;$470,690
Dakari Johnson;$459,414
Cassius Winston;$449,115
Jalen Harris;$449,115
Keita Bates-Diop;$449,115
Quinndary Weatherspoon;$449,115
Keljin Blevins;$449,115
Ty-Shon Alexander;$449,115
Josh Hall;$449,115
Jaylen Adams;$449,115
Sean McDermott;$449,115
Killian Tillie;$449,115
Devontae Cacok;$449,115
Kostas Antetokounmpo;$449,115
Jay Scrubb;$449,115
Nico Mannion;$449,115
Nate Hinton;$449,115
Tyler Bey;$449,115
Marques Bolden;$449,115
Adam Mokoka;$449,115
Devon Dotson;$449,115
Nate Darling;$449,115
Grant Riller;$449,115
Chris Chiozza;$449,115
Yogi Ferrell;$444,149
Noah Vonleh;$427,725
Mason Jones;$424,544
Brodric Thomas;$412,202
Andre Roberson;$411,639
Donta Hall;$376,276
Brian Bowen;$375,321
Anzejs Pasecniks;$374,297
Freddie Gillespie;$363,015
AJ Hammons;$350,087
Karim Mane;$344,557
Will Magnay;$341,481
Greg Whittington;$332,252
Raymond Spalding;$289,156
Chasson Randle;$279,927
Justin Patton;$267,623
Gary Payton II;$249,864
Mike James;$237,648
Charlie Brown;$217,844
Anthony Lamb;$215,330
Justin Robinson;$198,040
Axel Toupane;$196,872
Henry Ellenson;$168,983
Ashton Hagans;$166,111
Isaiah Thomas;$159,698
John Henson;$158,907
Armoni Brooks;$135,362
Jordan Bone;$135,350
Jaylen Hoard;$129,209
Justin Anderson;$125,000
Didi Louzada;$123,056
Amida Brimah;$123,056
Troy Williams;$122,741
James Nunnally;$107,674
Demetrius Jackson;$92,857
Dakota Mathias;$86,132
Malik Fitts;$61,528
Jeremiah Martin;$58,452
Jerian Grant;$50,000
Louis King;$49,222
Cameron Oliver;$43,070
Cam Reynolds;$33,299
Andrew White;$25,000
Tyler Hall;$25,000
Elijah Bryant;$24,611
Caleb Homesley;$20,000
