Stephen Curry;37457154;40386520
Russell Westbrook;35665000;38454209
LeBron James;35654150;38442511
Chris Paul;35654150;38442511
Kyle Lowry;32700000;35257329
Blake Griffin;31873932;34366658
Gordon Hayward;31214295;33655433
James Harden;30570000;32960751
Paul George;30560700;32950723
Mike Conley;30521115;32908043
Kevin Durant;30000000;32346173
Paul Millsap;29230769;31516784
Al Horford;28928710;31191102
Damian Lillard;27977689;30165706
DeMar DeRozan;27739975;29909401
Chris Bosh;26837720;28936585
Jrue Holiday;26641111;28724600
Otto Porter;26011913;28046195
CJ McCollum;25759766;27774328
Joel Embiid;25467250;27458936
Andrew Wiggins;25467250;27458936
Nikola Jokic;25467250;27458936
Anthony Davis;25434263;27423369
Bradley Beal;25434262;27423368
Andre Drummond;25434262;27423368
Hassan Whiteside;24434262;26345162
Dwight Howard;24256725;26153741
Steven Adams;24157304;26046545
Giannis Antetokounmpo;24157304;26046545
Marc Gasol;24119025;26005272
Kevin Love;24119025;26005272
Harrison Barnes;24107258;25992585
Chandler Parsons;24107258;25992585
Nicolas Batum;24000000;25876939
Rudy Gobert;23491573;25328750
Kawhi Leonard;23114066;24921719
DeAndre Jordan;22897200;24687893
LaMarcus Aldridge;22347015;24094681
Serge Ibaka;21666667;23361125
Aaron Gordon;21590909;23279443
Danilo Gallinari;21587579;23275852
Victor Oladipo;21000000;22642321
Ryan Anderson;20421546;22018629
Joakim Noah;20261172;21845712
Kyrie Irving;20099189;21671062
Jabari Parker;20000000;21564115
Jimmy Butler;19841627;21393357
Zach LaVine;19500000;21025012
Wesley Matthews;19360228;20874309
Allen Crabbe;19332500;20844413
Enes Kanter;19264603;20771206
Tyler Johnson;19245370;20750469
John Wall;19169800;20668989
Jeff Teague;19000000;20485910
George Hill;19000000;20485910
Klay Thompson;18988725;20473753
Goran Dragic;18109175;19525417
Kent Bazemore;18089888;19504622
Evan Turner;17868853;19266300
Draymond Green;17469565;18835786
Tristan Thompson;17469565;18835786
Tim Hardaway Jr;17325000;18679915
Pau Gasol;17133285;18473206
Reggie Jackson;17043478;18376376
Evan Fournier;17000000;18329498
Bismack Biyombo;17000000;18329498
Derrick Favors;16900000;18221677
Luol Deng;16747954;18057740
Jonas Valanciunas;16539326;17832797
Gary Harris;16517857;17809649
Ian Mahinmi;16000000;17251292
Timofey Mozgov;16000000;17251292
Andre Iguodala;16000000;17251292
Clint Capela;15793104;17028216
Dennis Schroeder;15500000;16712189
DeMarre Carroll;15400000;16604369
Gorgui Dieng;15170787;16357230
Trevor Ariza;15000000;16173086
Eric Bledsoe;15000000;16173086
