,id,season,salary,PLAYER_AGE_y,RAPM,POSITION_Center,POSITION_Center-Forward,POSITION_Forward,POSITION_Forward-Center,POSITION_Forward-Guard,POSITION_Guard,POSITION_Guard-Forward,HEIGHT_METER,WEIGHT_KG,DRAFT_NUMBER,DRAFT_YEAR,GP,GS,PTS,AST,STL,BLK,TOV,PF,OREB,DREB,MIN,FG_PCT,FGA,FG3_PCT,FG3A,FT_PCT,FTA,ROOKIE,ROOKIE_AGE,FROM_US,coef_perc_rank,Undrafted,Undrafted_Rookie,log_rapm,RAPM_2,log_rapm_2,log_salary,PLAYER_AGE,PLAYER_AGE_2,BMI,log_BMI,next_season_salary,season_merge,log_next_season_salary,DISPLAY_FIRST_LAST
11,203518.0,2016/17,5994764.0,,-0.84,0,0,0,0,0,1,0,1.98,90.72,32.0,2013,68,6,6.0,0.6,0.5,0.1,0.5,1.7,0.3,1.0,15.5,0.3929999999999999,5.0,0.381,3.6,0.898,0.7,,,0,48.82,0.0,,-1.83258146374831,0.7055999999999999,0.5339169549893883,15.60639714634266,,,23.140495867768596,3.183890756791,5725000.0,2016/17,15.56035328207705,Alex Abrines
12,203458.0,2016/17,4823621.0,24.0,-3.18,1,0,0,0,0,0,0,2.13,113.4,5.0,2013,77,34,8.0,0.6,0.5,1.3,1.3,3.1,2.0,4.6,20.3,0.497,6.0,0.25,0.2,0.721,2.7,0.0,,0,4.74,0.0,0.0,,10.112400000000001,2.408061601924392,15.389035656110039,24.0,576.0,24.995040666534422,3.257905776232779,4187599.0,2016/17,15.247638335427338,Alex Len
13,1627816.0,2016/17,73743.0,,-0.36,0,0,1,0,0,0,0,2.06,106.59,61.0,Undrafted,6,1,10.7,0.8,0.5,0.3,0.5,2.3,1.8,3.0,26.1,0.4629999999999999,9.0,0.316,3.2,0.8,1.7,,,1,17.49,1.0,,-0.4462871026284195,0.1296,0.12186358775684057,11.208354914960289,,,25.11782448864172,3.2626180118369628,778668.0,2016/17,13.565341330832998,Alex Poythress
14,201582.0,2016/17,4863206.0,,-0.61,1,0,0,0,0,0,0,2.18,112.49,20.0,2008,39,15,5.3,0.3,0.5,0.6,0.8,2.0,1.2,3.4,15.0,0.5,4.6,0.0,0.1,0.725,1.0,,,0,81.42,0.0,,-0.941608539858445,0.3721,0.31634241294499243,15.39720865479709,,,23.67014561063883,3.2055938328602402,,,,Alexis Ajinca
15,203459.0,2016/17,18500000.0,,-1.66,0,0,0,0,0,0,1,1.96,96.16,31.0,2013,79,7,10.7,1.2,0.7,0.3,0.8,2.2,0.2,2.6,28.5,0.4679999999999999,8.2,0.444,3.8,0.847,1.6,,,1,97.09,0.0,,,2.7556,1.3232480594022553,16.733281344102608,,,25.031236984589757,3.259297239375241,18500000.0,2016/17,16.733281344102608,Allen Crabbe
16,202087.0,2016/17,2255408.0,,-0.07,0,0,1,0,0,0,0,1.98,102.06,61.0,Undrafted,13,0,0.8,0.5,0.4,0.1,0.3,1.1,0.3,0.8,6.9,0.214,1.1,0.0,0.2,0.556,0.7,,,1,43.9,1.0,,-0.07257069283483544,0.004900000000000001,0.004888034072775963,14.628841889195348,,,26.033057851239672,3.2970604819416427,,,,Alonzo Gee
17,101161.0,2016/17,12000000.0,,2.22,0,1,0,0,0,0,0,2.06,108.86,56.0,2005,80,77,6.5,1.8,0.6,0.8,1.0,2.6,1.5,3.1,20.1,0.5760000000000001,4.6,0.409,0.8,0.67,1.3,,,1,92.17,0.0,,1.169381359556317,4.928400000000001,1.779754362100623,16.300417291085605,,,25.652747667075126,3.282892247251251,11000000.0,2016/17,16.213405921671733,Amir Johnson
18,2760.0,2016/17,10851659.0,34.0,-0.64,0,0,1,0,0,0,0,2.11,117.93,30.0,2004,14,1,1.3,0.7,0.2,0.2,0.6,1.1,0.9,1.1,6.6,0.357,1.0,0.0,0.0,0.727,0.8,0.0,,0,50.63999999999999,0.0,0.0,-1.0216512475319814,0.4096,0.34330597619977804,16.199828621639845,34.0,1156.0,26.488623346286026,3.313772222577831,,,,Anderson Varejao
19,203083.0,2016/17,22116750.0,23.0,-1.36,1,0,0,0,0,0,0,2.08,126.55,9.0,2012,81,81,13.6,1.1,1.5,1.1,1.9,2.9,4.3,9.5,29.7,0.53,11.2,0.286,0.1,0.386,4.4,0.0,,1,37.16,0.0,0.0,,1.8496000000000004,1.0471786335532602,16.911845843179396,23.0,529.0,29.25064718934911,3.4095175789372143,23775506.0,2016/17,16.98416649108949,Andre Drummond
20,2738.0,2016/17,11131368.0,33.0,2.07,0,0,0,0,0,0,1,1.98,97.52,9.0,2004,76,0,7.6,3.4,1.0,0.5,0.8,1.3,0.7,3.3,26.3,0.528,5.5,0.362,2.3,0.706,1.3,0.0,,1,90.71,0.0,0.0,1.1216775615991057,4.2848999999999995,1.6648536976673123,16.22527771658621,33.0,1089.0,24.875012753800632,3.2532777444859193,14814815.0,2016/17,16.511138319067925,Andre Iguodala
